Federal School ID,Entity Type,Street Address,Year Round Yes/No,Public Yes/No,Administrator Name,Administrator Phone,Administrator Phone Ext.,Administrator Email,Virtual Instruction Type,School,Street City
No Data,K-12 Schools (Private),600 G St.,N,N,Grace Alvarez,No Data,No Data,grace_alvarez@senecacenter.org,No Data,Seneca Family of Agencies - Pathfinder Academy,Union City
No Data,K-12 Schools (Private),33700 Alvarado Niles Rd.,N,N,Adam Lopez,No Data,No Data,82tonyl@gmail.com,No Data,Union City Christian School,Union City
No Data,K-12 Schools (Private),Information Redacted,N,N,Megia Chou,No Data,No Data,megia@purplelotusschool.org,No Data,Purple Lotus School,Union City
11351,High Schools (Public),6038 Brann St.,N,Y,Sau-Lim (Lance) Tsang,(510) 427-2736,No Data,stsang@unityhigh.org,Not Virtual,Oakland Unity High,Oakland
11338,Elementary Schools (Public),2614 Seminary Ave.,N,Y,Laura Armstrong,No Data,No Data,docarm@aol.com,Not Virtual,East Oakland Leadership Academy,Oakland
No Data,Elementary Schools (Public),1025 - 81st Ave.,N,Y,Dennis Chaconas,No Data,No Data,debra.stephens@secmail.ousd.k12.ca.us,No Data,ACORN Woodland Elementary,Oakland
11350,High Schools (Public),314 East Tenth St.,N,Y,Shalonda Gregory,(510) 879-2338,No Data,shalonda.gregory@ousd.org,Not Virtual,MetWest High,Oakland
No Data,Elementary Schools (Public),"1025 Second Ave., Room 301",N,Y,Dennis Chaconas,(510) 879-4372,No Data,debra.stephens@secmail.ousd.k12.ca.us,No Data,The San Antonio Multicultural,Oakland
11294,Elementary Schools (Public),2825 International Blvd.,N,Y,Ana Vasquez-Coleman,(510) 879-2190,No Data,ana.vasquez@ousd.org,Not Virtual,Think College Now Elementary,Oakland
11349,High Schools (Public),4610 Foothill Blvd.,N,Y,Dan Hurst,(510) 434-5233,No Data,daniel.hurst@ousd.k12.ca.us,No Data,Mandela High,Oakland
11348,High Schools (Public),4610 Foothill Blvd.,N,Y,Dan Hurst,(510) 434-5257,No Data,daniel.hurst@ousd.k12.ca.us,No Data,Media College Preparatory,Oakland
11304,High Schools (Public),4610 Foothill Blvd.,N,Y,Betsye Steele,(510) 879-1237,No Data,betsye.steele@ousd.k12.ca.us,No Data,Robeson School of Visual and Performing Arts,Oakland
11290,High Schools (Public),8251 Fontaine St.,N,Y,Gina Hill,(510) 729-4303,No Data,gina.hill@ousd.k12.ca.us,No Data,"YES, Youth Empowerment",Oakland
11289,High Schools (Public),4610 Foothill Blvd.,N,Y,Daniel Hurst,No Data,No Data,daniel.hurst@ousd.k12.ca.us,No Data,College Preparatory and Architecture Academy,Oakland
10548,High Schools (Public),"8601 MacArthur Blvd., Bldg. 100",N,Y,Alexandrea Creer,(510) 633-0750,No Data,acreer@leads.org,No Data,LPS College Park,Oakland
10549,High Schools (Public),8601 MacArthur Blvd.,N,Y,Michael Scott,(510) 879-3010,443,michael.scott@ousd.k12.ca.us,No Data,Business and Information Technology High,Oakland
10550,High Schools (Public),8601 MacArthur Blvd.,N,Y,Aryn Bowman,(510) 639-1466,798,aryn.bowman@ousd.k12.ca.us,No Data,East Oakland School of the Arts,Oakland
10619,High Schools (Public),8251 Fontaine St.,N,Y,Claude Jenkins,No Data,No Data,No Data,No Data,East Oakland Community High,Oakland
10686,Elementary Schools (Public),1025 81st Ave.,N,Y,Minh-Tram Nguyen,(510) 879-2181,No Data,tram.nguyen@ousd.org,Not Virtual,EnCompass Academy Elementary,Oakland
10717,High Schools (Public),2300 International Blvd.,Y,Y,Julina Bonilla,No Data,No Data,No Data,No Data,Youth Employment Partnership Charter,Oakland
10718,District Community Day Schools,4917 Mountain Blvd.,N,Y,Dana Sudduth,(510) 879-2333,No Data,dana.sudduth@ousd.org,Not Virtual,Community Day,Oakland
10719,District Community Day Schools,4917 Mountain Blvd.,N,Y,Gary Middleton,(510) 531-6800,No Data,gary.middleton@ousd.org,Not Virtual,Community Day Middle,Oakland
10720,K-12 Schools (Public),8251 Fontaine St.,N,Y,Seth Feldman,(510) 382-9932,No Data,director@baytechschool.org,Not Virtual,Bay Area Technology,Oakland
10721,High Schools (Public),285 17th St.,N,Y,Hugo Arabia,No Data,No Data,harabia@oaklandoasis.org,No Data,Oasis High,Oakland
10722,Intermediate/Middle Schools (Public),3550 64th Ave.,N,Y,Michael Scott,No Data,No Data,michael.scott@ousd.k12.ca.us,No Data,Explore Middle,Oakland
10723,High Schools (Public),8601 MacArthur Blvd.,N,Y,Betsye Steele,(510) 879-3010,457,betsye.steele@ousd.k12.ca.us,No Data,Leadership Preparatory High,Oakland
10724,Elementary Schools (Public),3200 62nd Ave.,N,Y,Jessica Chacon,No Data,No Data,delphine.sherman@aspirepublicschools.org,No Data,Aspire Millsmont Academy,Oakland
10725,High Schools (Public),6200 San Pablo Ave.,N,Y,Stephen Liles,No Data,No Data,stephen.liles@ousd.k12.ca.us,No Data,California College Preparatory Academy,Oakland
10726,High Schools (Public),444 Hegenberger Rd.,N,Y,Rich Harrison,(510) 689-1048,No Data,superintendent@lighthousecharter.org,Not Virtual,Lighthouse Community Charter High,Oakland
10727,Elementary Schools (Public),6200 San Pablo Ave.,N,Y,Jason Stack,(510) 658-2900,No Data,data-contact@aspirepublicschools.org,Not Virtual,Aspire Berkley Maynard Academy,Oakland
10728,Elementary Schools (Public),1700 28th Ave.,N,Y,Stephen Cilono,(510) 904-6400,No Data,scilono@efcps.net,No Data,World Academy,Oakland
11553,Intermediate/Middle Schools (Public),2607 Myrtle St.,N,Y,Lynn Haines Dodd,(510) 879-3030,No Data,lynn.dodd@ousd.k12.ca.us,No Data,Kizmet Academy Middle,Oakland
11554,High Schools (Public),2607 Myrtle St.,N,Y,Karen Todd,(510) 879-3033,No Data,karen.todd@ousd.k12.ca.us,No Data,"Business, Entrepreneurial School of Technology High",Oakland
11555,High Schools (Public),2607 Myrtle St.,N,Y,Jeffrey Taylor,(510) 879-2303,No Data,jeffrey.taylor@ousd.org,Not Virtual,McClymonds High,Oakland
11556,Elementary Schools (Public),9845 Bancroft Ave.,N,Y,Natasha Flint-Moore,(510) 879-2193,No Data,natasha.moore@ousd.org,Not Virtual,Reach Academy Elementary,Oakland
11557,Elementary Schools (Public),2409 East 27th St.,N,Y,Rachelle (Catherine) McManus,(510) 879-0175,No Data,catherine.mcmanus@ousd.org,Not Virtual,Manzanita SEED Elementary,Oakland
11558,Elementary Schools (Public),581 61st St.,N,Y,Charquita Arnold,(510) 879-2194,No Data,charquita.arnold@ousd.org,Not Virtual,Sankofa United Elementary,Oakland
11559,Elementary Schools (Public),8521 A St.,N,Y,Samantha Keller,(510) 879-2192,No Data,samantha.keller@ousd.org,Not Virtual,Rise Community Elementary,Oakland
11560,Alternative Schools of Choice,5263 Broadway Terr.,N,Y,Beverly Jarrett,(510) 654-7116,No Data,beverly.jarrett@ousd.k12.ca.us,No Data,Far West,Oakland
11561,Elementary Schools (Public),1700 28th Ave.,N,Y,Larissa Adam,(510) 568-7936,No Data,cdeachieve@efcps.net,Not Virtual,Achieve Academy,Oakland
11562,High Schools (Public),"7801 Edgewater Dr., Ste. 2000",N,Y,James Sulton,(510) 633-6375,No Data,jsulton@aviationhighschool.org,No Data,Oakland Aviation High,Oakland
11563,High Schools (Public),746 Grand Ave.,N,Y,Natalie Glass,(510) 893-8701,No Data,natalie.glass@aimsk12.org,Not Virtual,AIMS College Prep High,Oakland
11564,Intermediate/Middle Schools (Public),2722 Adeline St.,N,Y,Wilhelmina Santa Maria,No Data,No Data,No Data,No Data,Junior Space Exploration Academy,Oakland
11565,High Schools (Public),2722 Adeline St.,N,Y,Wilhelmina Santa Maria,No Data,No Data,No Data,No Data,Space Exploration Academy,Oakland
No Data,Intermediate/Middle Schools (Public),2101 35th Ave.,N,Y,Gregory McNamara,No Data,No Data,gregory.mcnamara@ousd.k12.ca.us,No Data,Peralta Creek Middle,Oakland
11909,Intermediate/Middle Schools (Public),2101 35th Ave.,N,Y,Sara Allen,(510) 879-3228,No Data,sara.allen@ousd.org,Not Virtual,United for Success Academy Middle,Oakland
12027,Intermediate/Middle Schools (Public),1800 98th Ave.,N,Y,Faris Jabbar,(510) 639-2893,No Data,faris.jabbar@ousd.org,Not Virtual,Alliance Academy,Oakland
11961,Intermediate/Middle Schools (Public),1800 98th Ave.,N,Y,Viet-Ly Gonzalez,(510) 879-3229,No Data,viet-ly.gonzalez@ousd.org,Not Virtual,Elmhurst United Middle,Oakland
11920,K-12 Schools (Public),1390 66th Ave.,N,Y,Amy Carozza,(510) 879-3232,No Data,amy.carozza@ousd.org,Not Virtual,Coliseum College Prep Academy,Oakland
11907,Intermediate/Middle Schools (Public),1390 66th Ave.,N,Y,Geoff Vu,(510) 639-3226,No Data,geoff.vu@ousd.org,Not Virtual,ROOTS International Academy,Oakland
11977,Elementary Schools (Public),10315 E St.,N,Y,Amie Akuma,(510) 879-2172,No Data,amie.akuma@ousd.org,Not Virtual,Fred T. Korematsu Discovery Academy Elementary,Oakland
12013,Elementary Schools (Public),171 12th St.,N,Y,Natalie Glass,(510) 893-8701,No Data,natalie.glass@aimsk12.org,Not Virtual,American Indian Public Charter School II,Oakland
12006,Elementary Schools (Public),3800 Mountain Blvd.,N,Y,Valerie Abad,(510) 285-7511,No Data,vabad@covaconservatory.org,Not Virtual,Conservatory of Vocal/Instrumental Arts,Oakland
12041,High Schools (Public),2433 Coolidge Ave.,N,Y,Sylvia Flores,(510) 436-0172,No Data,sflores@amethodschools.org,Not Virtual,Oakland Charter High,Oakland
11935,Elementary Schools (Public),1700 Market St.,Y,Y,Michael Burks,(510) 929-0437,No Data,opsadmin@kippnorcal.org,Not Virtual,KIPP Bridge Academy,Oakland
12058,Elementary Schools (Public),6701 International Blvd.,N,Y,Nehseem Ratchford,(510) 879-2123,No Data,nehseem.ratchford@ousd.org,Not Virtual,Lockwood STEAM Academy Elementary,Oakland
12040,High Schools (Public),"3301 East 12th St., Ste. 205",N,Y,Karla Gandiaga,(510) 436-5487,No Data,karla@arisehighschool.org,Not Virtual,ARISE High,Oakland
12056,High Schools (Public),101 Myrtle St.,Y,Y,Tessa Nicholas,(510) 992-7800,7853,tessa.nicholas@cvcorps.org,Not Virtual,Civicorps Corpsmember Academy,Oakland
12057,Elementary Schools (Public),6701 International Blvd.,N,Y,Shelley McCray,(510) 636-0520,No Data,s.hawkins-mccray@ousd.org,Not Virtual,Futures Elementary,Oakland
12053,Elementary Schools (Public),2035 40th Ave.,N,Y,Juan Vaca,(510) 879-2114,No Data,juan.vaca@ousd.org,Not Virtual,Global Family Elementary,Oakland
12054,Elementary Schools (Public),2035 40th Ave.,N,Y,Larissa Adam,(510) 568-7936,No Data,cdelwl@efcps.net,Not Virtual,Learning Without Limits,Oakland
12059,Elementary Schools (Public),8000 Birch St.,N,Y,Michelle Grant,(510) 879-2107,No Data,michelle.grant@ousd.org,Not Virtual,East Oakland Pride Elementary,Oakland
12055,Elementary Schools (Public),6328 East 17th St.,N,Y,Annika Rudback,(510) 879-3112,No Data,annika.rudback@ousd.org,Not Virtual,Greenleaf,Oakland
12048,Intermediate/Middle Schools (Public),991 14th St.,N,Y,Neha Ummat,(510) 879-2204,No Data,neha.ummat@ousd.org,Not Virtual,West Oakland Middle,Oakland
12051,District Community Day Schools,9736 Lawlor St.,N,Y,La Tanya Williams,(510) 729-7713,No Data,latanya.williams@ousd.k12.ca.us,No Data,Barack Obama Academy,Oakland
12049,Alternative Schools of Choice,4521 Webster St.,N,Y,Tom Felix,(510) 879-1353,No Data,tom.felix@ousd.org,Not Virtual,Oakland International High,Oakland
12052,High Schools (Public),2607 Seminary Ave.,N,Y,Vicky Stoneham,No Data,No Data,vstoneham@yahoo.com,No Data,East Oakland Leadership Academy High,Oakland
12331,K-12 Schools (Public),1009 66th Ave.,N,Y,Deloris Brown,(510) 567-9631,No Data,deloris.brown@aspirepublicschools.org,Not Virtual,Aspire Golden State College Preparatory Academy,Oakland
12325,Continuation High Schools,1240 18th St.,N,Y,Michael Merriman,(510) 879-2309,No Data,michael.merriman@ousd.org,Not Virtual,Ralph J. Bunche Continuation High,Oakland
12506,Alternative Schools of Choice,900 Fallon St.,N,Y,William Ramos Ochoa,(510) 464-3592,No Data,william.ramosochoa@ousd.org,Not Virtual,Gateway to College High at Laney College,Oakland
12542,Elementary Schools (Public),1936 Courtland Ave.,N,Y,Jenna Ogier-Marangella,(510) 658-9760,No Data,data-contact@aspirepublicschools.org,Not Virtual,Aspire ERES Academy,Oakland
No Data,K-12 Schools (Private),Information Redacted,N,N,Laura Sprinson,(510) 434-7990,No Data,laura_sprinson@senecacenter.org,No Data,Seneca Center - Building Blocks,Oakland
12497,Intermediate/Middle Schools (Public),1086 Alcatraz Ave.,N,Y,Kathryn Nicol,(510) 420-3701,224,kathryn.nicol@cvcorps.org,No Data,Civicorps Middle,Oakland
12842,Preschool,3550 64th Ave.,N,Y,Theresa Lozach,(510) 879-5004,No Data,theresa.lozach@ousd.org,Not Virtual,Infant and Preschool Program,Oakland
12611,Special Education Schools (Public),915 54th St.,N,Y,David Cammarata,(510) 879-5003,No Data,david.cammarata@ousd.org,Not Virtual,Young Adult Program,Oakland
12610,K-12 Schools (Public),915 54th St.,N,Y,Rachel Friedman,(510) 879-5003,No Data,rachel.friedman@ousd.org,Not Virtual,Home and Hospital Program,Oakland
12648,Elementary Schools (Public),2501 Chestnut St.,N,Y,Rosette Costello,(510) 452-2100,No Data,rcostello@vincentacademy.org,Not Virtual,Vincent Academy,Oakland
12992,High Schools (Public),8601 MacArthur Blvd.,N,Y,Joseph Blasher,(510) 879-2301,No Data,joseph.blasher@ousd.org,Not Virtual,Castlemont High,Oakland
13062,High Schools (Public),4610 Foothill Blvd.,N,Y,Nidya Baez,(510) 879-2302,No Data,nidya.baez@ousd.org,Not Virtual,Fremont High,Oakland
13190,K-12 Schools (Public),3400 Malcolm Ave.,Y,Y,Spencer Hooper,(510) 639-3275,No Data,spencerhooper@comcast.net,No Data,100 Black Men of the Bay Area Community,Oakland
13155,High Schools (Public),"8601 MacArthur Blvd., Bldg. 100",N,Y,Brent Daniels,(510) 830-3780,No Data,lpssuperintendent@leadps.org,Not Virtual,LPS Oakland R & D Campus,Oakland
13676,Elementary Schools (Public),8030 Atherton St.,N,Y,Brian White,(510) 562-8030,No Data,data-contact@aspirepublicschools.org,Not Virtual,Aspire College Academy,Oakland
13752,Intermediate/Middle Schools (Public),2000 Dennison St.,N,Y,Sylvia Flores,(510) 436-0172,No Data,sflores@amethodschools.org,Not Virtual,Downtown Charter Academy,Oakland
13735,K-12 Schools (Public),3400 Malcolm Ave.,N,Y,Miranda Thorman,(510) 577-9557,No Data,miranda.thorman@eastbayia.org,Not Virtual,East Bay Innovation Academy,Oakland
No Data,Adult Education Centers,2455 Church St.,N,Y,No Data,No Data,No Data,No Data,No Data,Adult Evening,Oakland
No Data,Adult Education Centers,2607 Myrtle St.,N,Y,No Data,No Data,No Data,No Data,No Data,McClymonds Evening High,Oakland
No Data,Adult Education Centers,12250 Skyline Blvd.,N,Y,No Data,No Data,No Data,No Data,No Data,Skyline Evening High,Oakland
07326,Continuation High Schools,8251 Fontaine St.,N,Y,Alessandra Cabrera,(510) 879-2352,No Data,alessandra.cabrera@ousd.org,Not Virtual,Rudsdale Continuation High,Oakland
No Data,Adult Education Centers,920 53rd St.,N,Y,Pamela Wong,No Data,No Data,pamela.wong@ousd.k12.ca.us,No Data,Pleasant Valley Adult,Oakland
No Data,High Schools (Public),609 98th Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,East Oakland Street Academy,Oakland
07804,Alternative Schools of Choice,417 29th St.,N,Y,Bukola Lawal,(510) 879-2313,No Data,bukola.lawal@ousd.org,Not Virtual,Street Academy Alternative High,Oakland
13630,Adult Education Centers,750 International Blvd.,N,Y,Chris Nelson,(510) 273-2300,No Data,christian.nelson@ousd.k12.ca.us,Not Virtual,Neighborhood Centers Adult Education,Oakland
No Data,High Schools (Public),1101 Third Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,Renaissance Junior/Senior High,Oakland
No Data,Special Education Schools (Public),1025 Second St.,N,Y,No Data,No Data,No Data,No Data,No Data,Oakland Special Programs (Cyes,Oakland
07324,Alternative Schools of Choice,5263 Broadway Terr.,N,Y,Christine Dargahi,No Data,No Data,No Data,No Data,Arts (Alternative),Oakland
No Data,Continuation High Schools,1025 81st Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,Rudsdale Senior High,Oakland
No Data,Continuation High Schools,3315 Magnolia St.,N,Y,No Data,No Data,No Data,No Data,No Data,Clawson Senior High,Oakland
No Data,Continuation High Schools,6701 East 14th St.,N,Y,No Data,No Data,No Data,No Data,No Data,Eastside Continuation High,Oakland
No Data,High Schools (Public),1700 Market St.,N,Y,No Data,No Data,No Data,No Data,No Data,Lafayette Opportunity,Oakland
No Data,Junior High Schools (Public),2701 22nd Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,Manzanita Opportunity,Oakland
No Data,Continuation High Schools,1240 18th St.,N,Y,No Data,No Data,No Data,No Data,No Data,Bunche Continuation High,Oakland
05632,K-12 Schools (Public),1086 Alcatraz Ave.,N,Y,Desiree Braganza,(510) 420-3701,No Data,desiree.braganza@cvcorps.org,No Data,Civicorps Elementary,Oakland
05665,Alternative Schools of Choice,12500 Campus Dr.,N,Y,Karen Todd,No Data,No Data,karen.todd@ousd.k12.ca.us,No Data,Merritt Middle College High (Alternative),Oakland
13300,Adult Education Centers,2607 Myrtle St.,N,Y,Kim Jones,(510) 879-1400,No Data,kim.jones1@ousd.org,Not Virtual,Oakland Adult and Career Education,Oakland
08676,K-12 Schools (Public),2101 35th Ave.,N,Y,Aryn Bowman,(510) 879-1335,No Data,aryn.bowman@ousd.org,Not Virtual,LIFE Academy,Oakland
10407,High Schools (Public),7200 Bancroft Ave.,N,Y,Isaac Haqq,No Data,No Data,uprepacademy@yahoo.com,No Data,University Preparatory Charter Academy,Oakland
10729,K-12 Schools (Public),3877 Lusk St.,N,Y,Mary Streshly,(510) 594-3983,No Data,mstreshly@omiacademy.org,Not Virtual,"Oakland Military Institute, College Preparatory Academy",Oakland
10408,Elementary Schools (Public),444 Hegenberger St.,N,Y,Rich Harrison,(510) 689-1048,No Data,superintendent@lighthousecharter.org,Not Virtual,Lighthouse Community Charter,Oakland
No Data,Elementary Schools (Public),6441 Herzog St.,N,Y,Amber Blackwell,No Data,No Data,lotusaandt@aol.com,No Data,Lotus Agriculture and Technology Academy,Oakland
10459,K-12 Schools (Public),400 105th Ave.,N,Y,Tommy Gonzalez,(510) 635-7737,No Data,data-contact@aspirepublicschools.org,Not Virtual,Aspire Lionel Wilson College Preparatory Academy,Oakland
10460,High Schools (Public),8501 International Blvd.,N,Y,Linda Halpern,No Data,No Data,No Data,No Data,School of Social Justice and Community Develo,Oakland
10724,Elementary Schools (Public),3200 62nd Ave.,N,Y,Laurelei Durr,(510) 638-9445,No Data,data-contact@aspirepublicschools.org,Not Virtual,Aspire Triumph Technology Academy,Oakland
13864,Elementary Schools (Public),8711 MacArthur Blvd.,N,Y,Detra Denully,(510) 775-0900,156,ddenully@cctschools.org,Not Virtual,Castlemont Primary Academy,Oakland
13856,Elementary Schools (Public),4551 Steele St.,N,Y,Carla Victor,(510) 698-3794,No Data,cvictor@rosesinconcrete.org,Not Virtual,Roses in Concrete,Oakland
13889,Intermediate/Middle Schools (Public),8711 MacArthur Blvd.,N,Y,Lisa Haynes,(510) 775-0900,156,lhaynes@cctschools.org,Not Virtual,Castlemont Junior Academy,Oakland
No Data,Adult Education Centers,8601 Macarthur Blvd.,N,Y,No Data,No Data,No Data,No Data,No Data,Castlemont Evening High,Oakland
04247,High Schools (Public),8601 MacArthur Blvd.,N,Y,Debbra Lindo,(510) 879-3010,No Data,No Data,No Data,Leadership Preparatory High,Oakland
13942,Elementary Schools (Public),9736 Lawlor St.,N,Y,Claudia Lee,(510) 746-0700,716,claudia@francophoneschool.org,Not Virtual,Francophone Charter School of Oakland,Oakland
13888,High Schools (Public),"12500 Campus Dr., Bldg. D",N,Y,Valerie Abad,(510) 328-1119,No Data,vabad@covaconservatory.org,Not Virtual,Conservatory of Vocal/Instrumental Arts High,Oakland
04255,Continuation High Schools,1111 2nd Ave.,N,Y,Staci Ross-Morrison,(510) 879-8310,No Data,staci.ross-morrison@ousd.org,Not Virtual,Dewey Academy High,Oakland
04262,High Schools (Public),4610 Foothill Blvd.,N,Y,James McKibbon,No Data,No Data,No Data,No Data,Fremont Federation,Oakland
14027,K-12 Schools (Public),701 105th Ave.,N,Y,Rich Harrison,(510) 689-1048,No Data,superintendent@lighthousecharter.org,Not Virtual,Lodestar: A Lighthouse Community Charter Public,Oakland
No Data,Continuation High Schools,417 29th St.,N,Y,No Data,No Data,No Data,No Data,No Data,Grant Senior High,Oakland
04300,High Schools (Public),2607 Myrtle St.,N,Y,Lynn Haines Dodd,No Data,No Data,lynn.hainesdodd@ousd.k12.ca.us,No Data,McClymonds Senior High,Oakland
14086,Intermediate/Middle Schools (Public),1180 70th Ave.,N,Y,Amapola Obrera,(510) 636-7992,No Data,amapola.obrera@ousd.org,Not Virtual,Oakland SOL (School of Language) Dual Language Middle,Oakland
13312,Adult Education Centers,2607 Myrtle St.,N,Y,Kim Jones,(510) 273-2300,No Data,kim.jones1@ousd.org,Not Virtual,Edward Shands Adult,Oakland
No Data,Adult Education Centers,750 International Blvd.,N,Y,Brigitte Marshall,No Data,No Data,No Data,No Data,Oakland Evening Adult (Neighborhood Center),Oakland
04304,High Schools (Public),1023 MacArthur Blvd.,N,Y,Pamela Moy,(510) 879-2304,No Data,pamela.moy@ousd.org,Not Virtual,Oakland High,Oakland
No Data,Adult Education Centers,4351 Broadway,N,Y,No Data,No Data,No Data,No Data,No Data,Oakland Technical Evening High,Oakland
04305,High Schools (Public),4351 Broadway,N,Y,Martel Price,(510) 879-2305,No Data,martel.price@ousd.org,Not Virtual,Oakland Technical High,Oakland
04315,High Schools (Public),12250 Skyline Blvd.,N,Y,Rebecca Huang,(510) 879-2306,No Data,rebecca.huang@ousd.org,Not Virtual,Skyline High,Oakland
14662,Elementary Schools (Public),25 South Hill Ct.,N,Y,Alesia Eutsler,(510) 879-8812,No Data,alesia.eutsler@ousd.org,Not Virtual,Kaiser Early Childhood Center,Oakland
No Data,Elementary Schools (Public),11850 Campus Dr,N,Y,Sharon Travers,(510) 879-8410,No Data,Sharon.Travers@ousd.org,Not Virtual,Hintil Kuu Ka Child Development Center,Oakland
No Data,Elementary Schools (Public),3550 64Th Ave.,Y,Y,Theresa Lozach,(510) 879-1040,No Data,Theresa.Lozach@ousd.org,Not Virtual,Burbank Child Development Center,Oakland
10461,K-12 Schools (Public),530 18th St.,N,Y,Mike Oz,(510) 873-8800,No Data,moz@oakarts.org,Not Virtual,Oakland School for the Arts,Oakland
04238,Elementary Schools (Public),3670 Penniman Ave.,N,Y,Ronald Towns,(510) 879-2101,No Data,ronald.towns@ousd.org,Not Virtual,Allendale Elementary,Oakland
04239,Elementary Schools (Public),6686 Chabot Rd.,N,Y,Jessica Cannon,(510) 879-2106,No Data,jessica.cannon@ousd.org,Not Virtual,Chabot Elementary,Oakland
04241,Elementary Schools (Public),1025 East 28th St.,N,Y,Linda Flynn,(510) 879-2102,No Data,linda.flynn@ousd.org,Not Virtual,Bella Vista Elementary,Oakland
04243,Elementary Schools (Public),401 Jones Ave.,N,Y,Leigh Daniels,(510) 879-2103,No Data,leigh.daniels@ousd.org,Not Virtual,Brookfield Elementary,Oakland
No Data,Elementary Schools (Public),3550 64th Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,Burbank Elem.,Oakland
04245,Elementary Schools (Public),3994 Burckhalter Ave.,N,Y,Carin Geathers,(510) 879-2105,No Data,carin.geathers@ousd.org,Not Virtual,Burckhalter Elementary,Oakland
04246,Elementary Schools (Public),11900 Campus Dr.,N,Y,Denise Burroughs,(510) 879-3168,No Data,denise.burroughs@ousd.org,Not Virtual,Carl B. Munck Elementary,Oakland
No Data,Special Education Schools (Public),3031 East 18th St.,N,Y,No Data,No Data,No Data,No Data,No Data,Whitton (Oh) (Charles) Center,Oakland
04249,Elementary Schools (Public),8755 Fontaine St.,N,Y,Nikki Williams,(510) 879-2169,No Data,nikki.williams@ousd.org,Not Virtual,Oakland Academy of Knowledge Elementary,Oakland
No Data,Elementary Schools (Public),1025 Second Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,Clawson Elementary,Oakland
04251,Elementary Schools (Public),745 Cleveland St.,N,Y,Peter Van Tassel,(510) 879-2108,No Data,peter.vantassel@ousd.org,Not Virtual,Cleveland Elementary,Oakland
04252,Intermediate/Middle Schools (Public),1011 Union St.,N,Y,Ivory Brooks,No Data,No Data,ivory.brooks@ousd.k12.ca.us,No Data,Cole Middle,Oakland
04253,Elementary Schools (Public),525 Midcrest Rd.,N,Y,Dung Kim Nguyen,(510) 879-3111,No Data,dungkim.nguyen@ousd.org,Not Virtual,Crocker Highlands Elementary,Oakland
No Data,Junior High Schools (Public),9655 Empire Rd.,N,Y,No Data,No Data,No Data,No Data,No Data,Hammarskjold (Dag) Opportunity,Oakland
04295,Elementary Schools (Public),2850 West St.,N,Y,Margaret Harris,No Data,No Data,No Data,No Data,Foster  Elementary,Oakland
No Data,Elementary Schools (Public),3239 Kempton Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,Edison Elementary,Oakland
04258,Elementary Schools (Public),5328 Brann St.,N,Y,Tammy Rose,No Data,No Data,tammy.rose@ousd.k12.ca.us,No Data,Sherman Elementary,Oakland
04260,Elementary Schools (Public),4803 Lawton Ave.,N,Y,Shawn Stibbins,(510) 879-2115,No Data,shawn.stibbins@ousd.org,Not Virtual,Emerson Elementary,Oakland
04261,Elementary Schools (Public),915 Foothill Blvd.,N,Y,Lusa Lai,(510) 879-2116,No Data,lusa.lai@ousd.org,Not Virtual,Franklin Elementary,Oakland
04264,Elementary Schools (Public),3200 Boston Ave.,N,Y,Nicholas Easter,(510) 879-5117,No Data,nicholas.easter@ousd.org,Not Virtual,Fruitvale Elementary,Oakland
04265,Elementary Schools (Public),1640 22nd Ave.,N,Y,Alexandra Brandenbu,(510) 879-2118,No Data,alex.brandenburg@ousd.org,Not Virtual,Garfield Elementary,Oakland
04266,Elementary Schools (Public),4215 La Cresta Ave.,N,Y,Rachel Quinn,(510) 879-5580,No Data,rachel.quinn@ousd.org,Not Virtual,Glenview Elementary,Oakland
04267,Elementary Schools (Public),6200 San Pablo Ave.,N,Y,Katherine Hunter,No Data,No Data,katherine.hunter@ousd.k12.ca.us,No Data,Golden Gate Elementary,Oakland
04269,Elementary Schools (Public),4720 Dunkirk Ave.,N,Y,Casey Beckner,(510) 879-2122,No Data,casey.beckner@ousd.org,Not Virtual,Grass Valley Elementary,Oakland
04272,Elementary Schools (Public),1700 28th Ave.,N,Y,Gia Truong,No Data,No Data,gia.truong@ousd.k12.ca.us,No Data,Hawthorne Elementary,Oakland
04273,Elementary Schools (Public),25 South Hill Ct.,N,Y,Dennis Guikema,(510) 549-4900,No Data,dennis.guikema@ousd.org,Not Virtual,Kaiser Elementary,Oakland
04274,Elementary Schools (Public),8521 A St.,N,Y,Samantha Keller,(510) 879-2125,No Data,samantha.keller@ousd.org,Not Virtual,Highland Community,Oakland
04275,Elementary Schools (Public),30 Marguerite Dr.,N,Y,Maria McCormick,(510) 879-5127,No Data,maria.mccormick@ousd.org,Not Virtual,Hillcrest,Oakland
04277,Elementary Schools (Public),5222 Ygnacio Ave.,N,Y,Tammie Adams,(510) 879-2136,No Data,tammie.adams@ousd.org,Not Virtual,Horace Mann Elementary,Oakland
